"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2023-06-04 20:28:00",2023,0,1,1,3,2,2,4,0,"700","400000"," Gasabo"," Gisozi"
"2023-06-04 20:27:56",2023,0,1,1,4,3,3,4,0,"400","600000"," Gasabo"," Kimironko"
"2023-06-04 10:10:26",2023,1,1,1,3,0,2,2,0,"1634","350000"," Kicukiro"," Kanombe"
"2023-06-04 10:10:26",2023,2,1,1,3,3,3,6,0,"1532","500000"," Kicukiro"," Kagarama"
"2023-06-04 10:10:26",2023,2,1,1,3,3,3,10,0,"1423","600000"," Kicukiro"," Nyarugunga"
"2023-06-04 10:01:18",2023,2,1,1,2,2,3,6,0,"1423","500000"," Kicukiro"," Kagarama"
"2023-06-02 12:59:37",2023,0,1,1,3,2,2,3,0,"500","700000"," Gasabo"," Kimironko"
"2023-05-31 13:09:14",2023,0,1,1,3,2,2,4,0,"700","420000"," Gasabo"," Gisozi"
"2023-05-31 07:00:52",2023,0,1,1,2,2,2,0,0,"800","600000"," Gasabo"," Kinyinya"
"2023-05-31 07:00:52",2023,0,1,1,2,2,2,2,0,"800","500000"," Kicukiro"," Kagarama"
"2023-05-27 15:05:53",2023,0,1,1,3,2,2,4,0,"500","420000"," Gasabo"," Gisozi"
"2023-05-24 15:52:22",2023,1,1,1,6,5,4,4,0,"800","1000"," Gasabo"," Kimironko"
"2023-05-24 13:21:56",2023,0,1,1,3,2,2,3,0,"700","400000"," Gasabo"," Gisozi"
"2023-05-24 09:47:18",2023,0,1,1,3,2,2,4,0,"500","400000"," Gasabo"," Gisozi"
"2023-05-23 06:58:17",2023,1,1,1,2,2,2,2,1,"521","450000"," Gasabo"," Kimironko"
"2023-05-22 12:58:20",2023,0,1,1,3,3,2,4,0,"700","400000"," Gasabo"," Gisozi"
"2023-05-22 10:59:29",2023,2,1,1,2,3,2,6,2,"3400","600"," Gasabo"," Gisozi"
"2023-05-15 10:12:57",2023,0,1,1,3,2,2,4,0,"700","400000"," Gasabo"," Gisozi"
"2023-05-14 18:00:50",2023,0,1,1,2,2,2,3,0,"500","1300"," Gasabo"," Kimironko"
"2023-05-13 17:53:47",2023,0,1,1,2,0,1,1,0,"300","250000"," Gasabo"," Kimironko"
"2023-05-13 17:47:35",2023,0,1,1,4,0,3,2,0,"400","700"," Kicukiro"," Niboye"
"2023-05-13 17:37:08",2023,0,1,1,4,4,3,3,0,"400","700"," Kicukiro"," Nyarugunga"
"2023-05-13 17:37:08",2023,0,1,1,3,3,2,3,0,"500","500"," Gasabo"," Kimironko"
"2023-05-12 14:50:09",2023,0,1,1,4,4,3,3,0,"400","600"," Gasabo"," Kimironko"
"2023-05-12 14:43:39",2023,0,1,1,4,4,3,2,0,"400","800"," Kicukiro"," Kanombe"
"2023-05-12 11:03:30",2023,1,1,1,1,1,2,4,0,"550","500000"," Gasabo"," Kimironko"
"2023-05-12 07:37:40",2023,1,1,1,2,2,2,2,0,"500","500000"," Gasabo"," Kimironko"
"2023-05-10 19:42:21",2023,0,1,1,3,3,2,5,0,"700","450000"," Gasabo"," Gisozi"
"2023-05-10 18:15:13",2023,0,1,1,3,3,2,4,0,"700","450000"," Gasabo"," Gisozi"
"2023-05-10 10:45:24",2023,0,1,1,3,3,2,4,0,"500","450000"," Gasabo"," Gisozi"
"2023-05-02 11:35:28",2023,0,1,1,3,3,3,3,0,"1000","1000000"," Kicukiro"," Kicukiro"
"2023-04-24 18:39:51",2023,0,1,1,2,2,1,3,0,"700","330000"," Gasabo"," Kimironko"
"2023-04-24 14:27:37",2023,1,1,1,2,2,2,8,0,"625","1000"," Kicukiro"," Kagarama"
"2023-04-24 11:12:28",2023,1,1,1,2,0,1,4,0,"850","200000"," Gasabo"," Kimironko"
