"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2023-05-17 11:06:25",2023,0,2,2,8,6,6,7,0,"1300","250000000"," Gasabo"," Kimironko"
"2023-05-13 17:53:41",2023,2,2,2,7,7,6,7,0,"500","250000000"," Gasabo"," Kimironko"
"2023-05-01 12:21:36",2023,0,2,2,10,8,8,4,0,"700","1360000000"," Gasabo"," Kimironko"
"2023-05-01 08:26:31",2023,0,1,1,4,4,3,4,0,"750","85000000"," Kicukiro"," Kicukiro"
"2023-04-23 14:48:45",2023,2,2,2,10,8,8,4,0,"700","1360000000"," Gasabo"," Kimironko"
"2023-04-21 11:06:31",2023,1,2,2,10,10,8,4,0,"700","1300000000"," Gasabo"," Kimironko"
"2023-04-17 18:20:21",2023,0,2,2,7,0,6,10,0,"1342","250000000"," Gasabo"," Bumbogo"
"2023-03-21 11:28:53",2023,0,1,1,2,0,2,0,0,"0","125000"," Gasabo"," Kimironko"
"2023-03-13 07:45:16",2023,0,1,1,7,6,7,5,0,"1000","550000000"," Gasabo"," Kimironko"
"2023-03-06 07:59:49",2023,0,2,2,12,10,10,8,0,"1000","350000000"," Gasabo"," Gisozi"
"2023-02-27 11:38:31",2022,2,4,4,11,0,8,4,0,"509","170000000"," Kicukiro"," Kigarama"
"2023-02-20 11:05:41",2023,2,2,2,6,0,6,4,0,"500","300000000"," Gasabo"," Kimironko"
"2023-02-18 19:22:52",2023,2,2,2,7,6,6,6,0,"2490099","300000000"," Gasabo"," Kimironko"
"2023-02-09 08:16:54",2023,2,2,2,6,6,5,4,0,"500","180000000"," Gasabo"," Kimironko"
"2023-01-26 08:01:00",2023,1,1,1,4,5,5,5,0,"400","9000000"," Gasabo"," Ndera"
"2022-12-21 08:33:16",2022,0,2,2,6,4,5,4,0,"700","43000000"," Gasabo"," Kimironko"
"2022-12-20 06:44:22",2022,0,1,1,3,3,2,4,0,"700","90000000"," Gasabo"," Remera"
"2022-12-07 17:56:05",2022,0,1,1,4,4,3,6,0,"1200","400000000"," Gasabo"," Rusororo"
"2022-09-25 10:58:17",2022,0,1,1,2,2,2,0,0,"0","135000"," Gasabo"," Kimironko"
"2022-09-01 17:12:50",2022,2,1,1,2,0,2,2,0,"751","100000000"," Gasabo"," Kinyinya"
"2022-08-10 09:00:53",2022,0,1,1,2,0,2,0,0,"300","30000000"," Gasabo"," Kimironko"
"2022-06-29 17:19:59",2022,0,0,0,16,0,0,1,0,"300","450000000"," Gasabo"," Remera"
"2022-06-22 10:56:12",2022,0,0,0,0,0,0,1,0,"300","290000000"," Nyarugenge"," Kigali"
"2022-06-20 08:42:51",2019,0,0,0,0,0,0,0,0,"708","150000000"," Kicukiro"," Nyarugunga"
"2022-06-13 10:26:54",2022,0,0,0,0,0,0,0,0,"300","290000000"," Nyarugenge"," Kigali"
"2022-06-11 13:36:47",2022,0,0,0,10,0,10,0,0,"300","350000000"," Kicukiro"," Kicukiro"
"2022-06-07 14:45:23",2022,0,1,1,16,0,0,1,0,"300","480000000"," Gasabo"," Remera"
"2022-05-26 14:40:41",2022,0,1,0,10,0,10,1,0,"300","350000000"," Kicukiro"," Kicukiro"
"2022-05-26 14:15:01",2022,0,0,0,0,0,0,0,0,"300","210000000"," Kicukiro"," Niboye"
"2022-05-24 11:12:33",2022,0,0,0,16,0,10,0,0,"300","450000000"," Gasabo"," Kimironko"
"2022-05-15 08:01:28",2022,0,0,0,10,0,10,0,0,"300","350000000"," Kicukiro"," Kicukiro"
"2022-05-15 07:42:21",2022,0,0,0,16,0,4,0,0,"300","450000000"," Gasabo"," Kimironko"
"2022-05-15 07:40:24",2022,0,0,0,12,0,10,0,0,"200","480000000"," Gasabo"," Remera"
"2022-05-14 21:13:32",2022,0,1,1,2,2,3,0,0,"0","110000"," Gasabo"," Kimironko"
"2022-05-12 08:43:31",2022,0,0,0,0,0,0,0,0,"300","290000000"," Nyarugenge"," Kigali"
"2022-05-09 23:34:11",2022,2,0,0,16,0,0,6,0,"300","450000000"," Gasabo"," Kimironko"
"2022-05-09 23:34:11",2022,0,1,0,12,0,10,4,0,"300","480000000"," Gasabo"," Remera"
"2022-05-05 06:34:05",2022,0,5,5,13,0,10,6,0,"300","480000000"," Gasabo"," Remera"
"2022-05-05 06:30:25",2022,0,0,0,0,0,0,0,0,"300","290000000"," Nyarugenge"," Kigali"
"2022-05-04 08:49:01",2022,0,1,1,16,0,10,1,0,"300","450000000"," Gasabo"," Kinyinya"
"2022-05-02 13:16:37",2022,0,1,1,2,2,2,1,0,"300","600"," Gasabo"," Kimironko"
"2022-05-02 13:16:30",2022,0,1,1,2,2,2,1,0,"300","700"," Gasabo"," Kimironko"
"2022-05-02 12:23:10",2022,1,2,1,6,5,5,5,1,"589","125000000"," Gasabo"," Kimironko"
"2022-04-30 10:49:53",2022,0,1,1,2,2,2,3,0,"900","100000000"," Gasabo"," Kinyinya"
"2022-04-30 08:52:33",2022,0,1,1,2,2,3,4,0,"500","700"," Gasabo"," Remera"
"2022-04-27 21:51:03",2022,1,1,1,0,0,0,1,0,"300","290000000"," Nyarugenge"," Kigali"
"2022-04-26 05:17:44",2022,0,4,4,16,16,0,4,0,"300","450000000"," Gasabo"," Kimironko"
"2022-04-24 16:52:49",2022,0,0,0,0,0,0,0,0,"300","290000000"," Nyarugenge"," Kigali"
"2022-04-21 23:27:32",2022,1,0,0,0,0,0,1,0,"300","210000000"," Kicukiro"," Niboye"
"2022-04-18 21:24:18",2022,0,0,0,16,0,4,7,0,"300","450000000"," Gasabo"," Remera"
"2022-04-15 21:37:05",2022,0,5,5,12,0,10,0,0,"300","480000000"," Gasabo"," Remera"
